,series,countyName,dealerName,companySimple,address,longitude,latitude
17,大众朗逸,奉贤,上海弘途汽车销售服务有限公司,上海弘途大众,奉贤区扶港路1088号,121.453021,30.986081
18,大众朗逸,青浦,上海永加汽车销售服务有限公司,上海永加,上海市青浦区沪青平公路5528号（交警大队东首）,121.126945,31.143562
19,大众朗逸,宝山,上海上汽安吉汽车销售服务有限公司,上汽安吉大众,上海市宝山区��川路329号,121.441727,31.356989
20,大众朗逸,闵行,上海华隆汽车销售服务有限公司,华隆大众,上海市闵行区华江路1366号,121.332486,31.234074
21,奔驰C级,嘉定,上海嘉德星汽车销售服务有限公司,上海嘉德星奔驰,上海市嘉定区澄浏中路1533号,121.292321,31.369874
22,奔驰C级,浦东新区,利星行汽车-上海奔驰有限公司、上海东驰,利星行汽车上海东驰,上海市浦东康梧路386号，杨高南路428号由由世纪广场一层,121.558441,31.135948
23,奔驰C级,普陀,利星行汽车-上海星瀚汽车维修服务有限公司,上海星瀚,金沙江路2098弄2－6号，红柳路288号,121.362549,31.302193
24,奔驰C级,松江,上海淞之星汽车服务有限公司,上海淞之星,沪松公路3778号11幢静安区长寿路943-951号,121.270727,31.081293
25,奔驰C级,宝山,上海德星汽车销售有限公司,上海德星,上海市宝山区江杨南路982号,121.473984,31.331204
26,奔驰C级,浦东新区,上海汇之星汽车维修服务有限公司,上海汇之星,浦东新区南六公路1233号近周祝公路（毗邻上海迪士尼）,121.710932,31.114925
27,奔驰C级,闵行,利星行汽车-上海闵星汽车服务有限公司,上海闵星,上海市闵行区浦江镇三鲁公路3088号,121.529932,31.082907
28,奔驰C级,奉贤,上海中升奉星汽车销售服务有限公司,上海中升奉星,上海市奉贤区航南公路5890号,121.461998,30.935471
29,奔驰C级,闵行,上海越星汽车有限公司,上海越星奔驰4S店,上海市闵行区莲花南路2338号3幢,121.433176,31.076973
30,奔驰C级,普陀,中升集团上海中升之星奔驰,上海中升之星,上海市嘉定区江桥镇金运路99号,121.326126,31.239719
31,奔驰C级,浦东新区,上海东华之星汽车维修服务有限公司,利星行汽车上海东华之星,中国（上海）自由贸易试验区申江路500号,121.631257,31.300928
32,奔驰C级,静安,上海冠松之星汽车销售服务有限公司,上海冠松之星,上海市中环汶水路801号（原平路/真华路出口）,121.433737,31.295288
33,奔驰C级,闵行,上海利星汽车维修有限公司,上海利星奔驰,上海市闵行区沪青平公路939-989号/上海市长宁区延安西路1339号利星行广场,121.339074,31.174472
34,奔驰C级,长宁,上海利星汽车维修有限公司,上海利星汽车,上海市长宁区延安西路1339号利星国际广场2楼,121.431343,31.216808
35,奔驰C级,松江,上海宝利德汽车有限公司,上海宝利德,上海市松江区车墩镇北松公路6656号2幢,121.277507,31.008398
36,奔驰C级,徐汇,上海闵星汽车服务有限公司徐汇分公司,上海闵星徐汇分店,上海市徐汇区宜山路700号A7幢103室,121.423089,31.180989
37,奔驰C级,青浦,上海鹏龙大众星徽奔驰,上海鹏龙大众星徽奔驰,上海市青浦区华新镇北青公路4228号1幢,121.244438,31.206264
38,奔驰C级,浦东新区,上海可达汽车销售服务有限公司,东昌汽车上海可达奔驰4S店,上海市浦东新区金桥镇川桥路500号,121.614982,31.250185
39,奔驰C级,青浦,上海中升星宏汽车销售服务有限公司,上海中升星宏,上海市青浦区外青松公路4690号1、2幢,121.12612,31.200704
40,别克昂科威,静安,上海协通百联汽车销售服务有限公司,上海协通百联,共和新路3200号,121.454953,31.301919
41,别克昂科威,徐汇,上海锦江通永汽车销售服务有限公司,锦江通永,上海市徐汇区宋园路166号,121.420398,31.194653
42,别克昂科威,金山,上海弘任汽车销售服务有限公司,金山弘任别克4S店,金山区朱泾镇亭枫公路3038号,121.199504,30.898761
43,别克昂科威,静安,上海名流汽车销售有限公司,名流别克-静安店,上海市静安区康定路1171号,121.440655,31.23677
44,别克昂科威,浦东新区,上海东昌汽车服务有限公司,东昌别克花木店,上海市浦东新区浦建路1281--1285号,121.549506,31.211732
45,别克昂科威,嘉定,上海协通鹏骋汽车销售服务有限公司,上海协通鹏骋别克,上海市嘉定区永盛路2201号,121.253715,31.365414
46,别克昂科威,普陀,名流别克-普陀店,上海安吉名流,上海市普陀区铜川路1366号,121.402081,31.256973
47,别克昂科威,闵行,上海太平洋虹桥汽车贸易有限公司,太平洋别克中环店,上海吴中路1375号（中环店）,121.379413,31.178427
48,别克昂科威,普陀,上海众国通浩汽车销售服务有限公司,上海众国通浩汽车,上海市普陀区同普路1228号,121.376955,31.23809
49,别克昂科威,浦东新区,上海协通汽车销售服务有限公司（浦东店中港汇店）,协通别克中港汇店,张杨路2401号,121.564412,31.248487
50,别克昂科威,普陀,上海众国通泓汽车销售服务有限公司,上海众国别克,上海市普陀区红柳路255号1幢,121.361546,31.30052
51,别克昂科威,松江,上海永达汽车松江销售服务有限公司,永达松江,松江区方塔北路588号,121.255024,31.025509
52,别克昂科威,闵行,上海浦江郑隆汽车销售管理有限公司,上海浦江郑隆,上海市闵行区浦江镇联航路1239号,121.531399,31.083935
53,别克昂科威,奉贤,上海万兴汽车发展有限公司,上海万兴奉贤别克,上海市奉贤区航南公路5886号3幢,121.462633,30.935629
54,别克昂科威,浦东新区,上海东昌汽车浦东销售服务有限公司,东昌汽车浦东销售,上海市浦东新区御桥路1478号,121.569073,31.162259
55,别克昂科威,青浦,上海大众交通新虹桥汽车销售服务有限公司,大众交通新虹桥,上海市青浦区华新镇北青公路4149号5幢,121.245943,31.206368
56,别克昂科威,徐汇,上海永达汽车贸易中心有限公司,上海永达汽车,徐汇区龙吴路1600号,121.460749,31.140611
57,别克昂科威,普陀,上海协通汽车别克4S店,上海协通别克4S店,上海国际汽车城曹安路3908号,121.282844,31.276563
58,别克昂科威,浦东新区,上海绿地徐汇汽车销售有限公司,上海绿地徐汇,上海市浦东新区上南路3300,121.503646,31.16405
59,别克昂科威,奉贤,上海九源汽车销售服务有限公司,上海九源,奉贤区南亭公路1269号,121.435703,30.908746
60,雪佛兰科沃兹,嘉定,上海曼巴汽车销售有限公司,上海协通锦发江桥店,上海市嘉定区金园一路49号（曹安公路2883号8号楼）,121.326067,31.270646
61,雪佛兰科沃兹,浦东新区,上海永达宝运来汽车销售服务有限公司,上海永达宝运来,浦东新区龙东大道2777号,121.637502,31.229669
62,雪佛兰科沃兹,宝山,上海逸隆宝鸿汽车销售服务有限公司,上海逸隆宝鸿汽车,上海市宝山区宝安公路839号,121.418896,31.370476
63,雪佛兰科沃兹,闵行,上海弘怡汽车销售服务有限公司,上海弘怡雪佛兰,上海市闵行区华翔路19号1幢，2幢,121.332436,31.17637
64,雪佛兰科沃兹,普陀,上海锦骏汽车销售服务有限公司,上海锦骏雪佛兰,普陀区红柳路153号,121.431709,31.309774
65,雪佛兰科沃兹,普陀,上海众国同普汽车有限公司,上海众国同普,同普路1236号,121.376759,31.238259
66,雪佛兰科沃兹,闵行,上海浦江智隆汽车销售服务有限公司,上海浦江智隆,上海市联航路1239号,121.531562,31.083806
67,雪佛兰科沃兹,金山,上海弘昆汽车销售服务有限公司,上海弘昆,上海市金山区朱泾镇亭枫公路2468号,121.223586,30.901148
68,雪佛兰科沃兹,徐汇,上海绿地徐通汽车销售服务有限公司,绿地雪佛兰,上海市徐汇区龙吴路420号,121.466512,31.191847
69,雪佛兰科沃兹,嘉定,上海协通锦发汽车销售服务有限公司,上海协通锦发,上海市嘉定区澄浏中路1900号,121.291136,31.375595
70,雪佛兰科沃兹,宝山,上海逸隆汽车销售服务有限公司,上海逸隆汽车,上海高逸路99号,121.494236,31.328346
71,雪佛兰科沃兹,浦东新区,上海浦兴汽车销售服务有限公司,上海浦兴雪佛兰,浦东新区莱阳路2928号,121.590327,31.327978
72,雪佛兰科沃兹,松江,上海永达通盛汽车销售服务有限公司,永达通盛,松江区俞塘路555号（近方塔北路）,121.255455,31.025818
73,雪佛兰科沃兹,浦东新区,上海永达通宁汽车销售服务有限公司,上海永达通宁雪佛兰,浦东新区大川公路3099号,121.741476,31.052564
74,雪佛兰科沃兹,浦东新区,上海东昌雪莱汽车销售服务有限公司,上海东昌雪莱,上海市浦东新区御桥路1468号,121.567523,31.162008
75,雪佛兰科沃兹,奉贤,上海九炫汽车销售服务有限公司,上海九炫雪佛兰,奉贤区南亭公路1269号,121.434624,30.909056
76,雪佛兰科沃兹,普陀,上海安吉名门汽车服务有限公司,安吉名门,普陀区铜川路1366号（普陀图书馆西侧）,121.401248,31.256931
77,斯柯达明锐,金山,上海凌尚汽车销售服务有限公司,上海凌尚汽车,上海市金山区山阳镇亭卫公路2011号1幢一层,121.364396,30.780397
78,斯柯达明锐,普陀,上海申银汽车服务有限公司,上海申银汽车,普陀区中山北路2500号 公交车信息129路321路737路826路829路846路909路陆家宅下,121.430023,31.249981
79,斯柯达明锐,浦东新区,上海绿地徐捷汽车销售服务有限公司（斯柯达浦东白金4S店））,绿地徐捷,浦东新区川桥路350号,121.612381,31.249293
80,斯柯达明锐,嘉定,上海西上海安达汽车销售服务有限公司,西上海安达汽车,上海市嘉定区安亭国际汽车城墨玉南路998,121.168617,31.292189
81,斯柯达明锐,普陀,上海云峰交运汽车销售服务有限公司,云峰交运,普陀区真北路1038号（近怒江北路）,121.390444,31.242373
82,斯柯达明锐,浦东新区,上海东昌思达汽车销售服务有限公司,上海东昌斯柯达,浦东新区浦建路1281号,121.549789,31.21177
83,斯柯达明锐,徐汇,上海永达巴士汽车销售服务有限公司,永达巴士,徐汇区虹梅路1682号；松江区美能达路800号,121.407822,31.17156
84,斯柯达明锐,宝山,上海瑞晶汽车销售服务有限公司,上海瑞晶斯柯达,上海市宝山区一二八纪念路28号（近中环广粤路）,121.472843,31.334053
85,斯柯达明锐,杨浦,上海江湾五角场汽车销售服务有限公司,江湾五角场汽车,杨浦区民庆路208号（近国和路）,121.526934,31.323323
86,斯柯达明锐,静安,上海百联沪北汽车销售有限公司,斯柯达上海百联,上海市闸北区共和新路3550号,121.453027,31.307277
87,斯柯达明锐,浦东新区,上海浦江联航汽车销售服务有限公司,联航斯柯达4S店,浦江镇联航路1239号,121.534136,31.08484
88,斯柯达明锐,青浦,上海盛新汽车销售服务有限公司,上海盛新斯柯达4S店,上海市青浦工业园区外青松公路4670号1.2.3幢,121.126137,31.202129
89,斯柯达明锐,闵行,上海安吉斯领汽车销售服务有限公司,安吉斯领,闵行区沪闵路3388号,121.409754,31.067273
90,斯柯达明锐,奉贤,上海众隆汽车销售服务有限公司,上海众隆汽车,上海市奉贤区沪杭公路1108号,121.450775,30.962808
91,斯柯达明锐,浦东新区,上海弘绅汽车销售服务有限公司,上海弘绅斯柯达,周浦镇沪南公路3738号  公交路线龙大线和975路,121.577641,31.105171
92,斯柯达明锐,徐汇,上海交运起成汽车销售服务有限公司,交运起成,徐汇区中山南二路555号；崇明县城桥镇南门路350号,121.466723,31.195198
93,斯柯达明锐,浦东新区,上海百合汽车销售有限公司,上海百合斯柯达,上海市浦东新区六灶镇南六公路1189号,121.712402,31.110382
